Owner,Address,PrimeType,SecondType,GarOrLot,RegCap,ValetCap,MCCap,LANDUSETYP,Location 1
Private,569 POST ST,PPA, ,G,100,0,0, ,"(37.787693, -122.410902)"
Private,401 Jackson St,PPA, ,L,22,0,0, ,"(37.795894, -122.401792)"
Private,655 SACRAMENTO ST,PPA, ,L,20,0,0, ,"(37.793443, -122.403404)"
Private,680 02nd ST,PPA, ,G,50,0,0, ,"(37.78072, -122.390904)"
Private,699 COLUMBUS AVE,PPA, ,L,23,0,0, ,"(37.800893, -122.411315)"
Private,777 HARRISON ST,PPA, ,G,120,0,0, ,"(37.780976, -122.398765)"
Private,85 02ND ST,PPA, ,G,60,45,0, ,"(37.788311, -122.399682)"
Private,345 SPEAR ST,PPA, ,G,400,0,0, ,"(37.789602, -122.389889)"
Private,415 TAYLOR ST,PPA, ,L,110,0,0, ,"(37.786327, -122.411404)"
Private,490 POST ST,PPA, ,G,126,45,0, ,"(37.788273, -122.409635)"
Private,500 POST ST,PPA, ,G,160,0,0, ,"(37.788217, -122.410073)"
Private,542 GEARY ST,PPA, ,L,40,0,0, ,"(37.787008, -122.412052)"
Private,655 BEACH ST,PPA, ,G,120,0,0, ,"(37.806493, -122.419635)"
Private,80 HEMLOCK ALLEY,PPA, , ,75,0,0, ,"(37.787487, -122.419457)"
Private,875 CALIFORNIA ST,PPA, ,G,0,100,0, ,"(37.791835, -122.408584)"
Private,600 STOCKTON ST,CPO, ,G,83,0,0, ,"(37.791379, -122.406896)"
Private,661 BROADWAY,PPA, ,G,50,0,0, ,"(37.797456, -122.407732)"
Private,642 HARRISON ST,PPA, ,G,60,0,0, ,"(37.783647, -122.396118)"
RPD,600 Jamestown Ave,PPA, ,L,9000,0,0, ,"(37.712639, -122.387363)"
Private,15 08TH ST,PPA,PHO,GL,80,0,0, ,"(37.778656, -122.413863)"
Private,1550 BAY ST,PPA, ,G,176,0,0, ,"(37.803316, -122.432369)"
Private,170 COLUMBUS AVE,PPA, ,G,110,0,0, ,"(37.796956, -122.40484)"
Private,2720 TAYLOR ST,PPA, ,G,50,0,0, ,"(37.807507, -122.415219)"
Private,555 SELBY ST,PPA, , ,150,0,0, ,"(37.743769, -122.395643)"
SFRA,644 BRANNAN ST,PPA, ,L,120,0,0, ,"(37.775859, -122.399771)"
Port of SF,40 Pier Forty,PPA, ,L,280,0,0, ,"(37.781444, -122.387314)"
RPD,1 ZOO RD,PPA, ,L,483,0,0, ,"(37.730072, -122.502666)"
Private,205 13th ST,PPA, ,L,69,0,0, ,"(37.769385, -122.417333)"
SFMTA,1000 Ocean Avenue,PPA, ,L,20,0,0, ,"(37.72344, -122.452933)"
SFMTA,123 OFarrell Street,PPA, ,G,925,0,0, ,"(37.786027, -122.406906)"
SFMTA,1275 20th Avenue,PPA, ,L,24,0,0, ,"(37.764012, -122.4783)"
SFMTA,1325 08th Avenue,PPA, ,L,41,0,0, ,"(37.763473, -122.465276)"
SFMTA,1340 07th Avenue,PPA, ,L,36,0,0, ,"(37.763299, -122.463668)"
SFMTA,1399 Bush Street,PPA, ,G,129,0,0, ,"(37.788469, -122.419911)"
SFMTA,1610 Geary Blvd,PPA, ,G,747,0,0, ,"(37.785053, -122.430324)"
SFMTA,1660 Mission Street,PHO, ,G,59,0,0, ,"(37.771391, -122.419536)"
SFMTA,1680 Fillmore St,PPA, ,G,177,0,0, ,"(37.784865, -122.432591)"
SFMTA,174 West Portal Avenue,PPA, ,L,19,0,0, ,"(37.739141, -122.467847)"
SFMTA,20 Norton Street,PPA, ,L,28,0,0, ,"(37.724924, -122.434984)"
SFMTA,2055 Lombard Street,PPA, ,G,205,0,0, ,"(37.799625, -122.435051)"
SFMTA,2450 California Street,PPA, ,L,48,0,0, ,"(37.788955, -122.434528)"
SFMTA,25 Felton Street,PPA, ,L,10,0,0, ,"(37.729716, -122.404616)"
SFMTA,250 Clay Street,PPA, ,G,1095,0,0, ,"(37.795394, -122.398413)"
SFMTA,2500 24th St,PPA, ,G,807,0,0, ,"(37.753235, -122.404721)"
SFMTA,2500 Ocean Avenue,PPA, ,L,20,0,0, ,"(37.731462, -122.472183)"
SFMTA,2501á23rd St,PPA, ,G,850,0,0, ,"(37.754172, -122.40475)"
SFMTA,255 03rd Street,PPA, ,G,752,0,0, ,"(37.784476, -122.399289)"
SFMTA,3000 19th Avenue,PPA, ,L,20,0,0, ,"(37.732067, -122.474469)"
SFMTA,324 08th Avenue,PPA, ,L,28,0,0, ,"(37.782328, -122.466071)"
SFMTA,3252 Pierce Street,PPA, ,G,116,0,0, ,"(37.799922, -122.438994)"
SFMTA,3255 21st Street,PPA, ,G,350,0,0, ,"(37.756703, -122.420134)"
SFMTA,3255 24th Street,PPA, ,L,19,0,0, ,"(37.752041, -122.417317)"
SFMTA,330 09th Avenue,PPA, ,L,23,0,0, ,"(37.782074, -122.46711)"
SFMTA,333 Post Street,PPA, ,G,985,0,0, ,"(37.787732, -122.407341)"
SFMTA,355 McAllister Street,PPA, ,G,843,0,0, ,"(37.779843, -122.417484)"
SFMTA,360 Grove Street,PPA, ,G,618,0,0, ,"(37.778055, -122.422341)"
SFMTA,4061 24th Street,PPA, ,L,17,0,0, ,"(37.751105, -122.432972)"
SFMTA,4116 18th St,PPA, ,L,28,0,0, ,"(37.761063, -122.435652)"
SFMTA,415 07th Street,PPA, ,L,105,0,0, ,"(37.775198, -122.405403)"
SFMTA,421 18th Ave,PPA, ,L,34,0,0, ,"(37.77987, -122.477273)"
SFMTA,433 Kearny Street,PPA, ,G,700,0,0, ,"(37.791952, -122.404358)"
SFMTA,44 Hoff Street,PPA, ,G,98,0,0, ,"(37.764204, -122.420583)"
SFMTA,444 Stockton Street,PPA, ,G,1865,0,0, ,"(37.789845, -122.406591)"
SFMTA,457 Castro St,PPA, ,L,20,0,0, ,"(37.761655, -122.434434)"
SFMTA,5732 Geary Blvd,PPA, ,L,21,0,0, ,"(37.780493, -122.480659)"
SFMTA,733 Kearny Street,PPA, ,G,600,0,0, ,"(37.794631, -122.404913)"
SFMTA,735 Vallejo Street,PPA, ,G,162,0,0, ,"(37.798242, -122.409227)"
SFMTA,766 Vallejo Street,PPA, ,G,163,0,0, ,"(37.798624, -122.409512)"
SFMTA,807 Ulloa St,PPA, ,L,23,0,0, ,"(37.74039, -122.464976)"
SFMTA,833 Mission Street,PPA, ,G,2585,0,47, ,"(37.783152, -122.405154)"
Private,469 EDDY ST,PPA, ,G,30,0,0, ,"(37.783336, -122.415086)"
Private,1567 CALIFORNIA ST,PPA, ,L,22,0,0, ,"(37.790403, -122.41986)"
Private,2500 MASON ST,PPA, ,G,256,0,0, ,"(37.806632, -122.413359)"
Private,1127 Mission St,PPA, ,G,40,0,0, ,"(37.778522, -122.411191)"
Private,801 BRYANT ST,PPA, ,L,150,0,0, ,"(37.775802, -122.402206)"
Private,1162 Mission St,PPA, ,G,166,0,0, ,"(37.778491, -122.41222)"
Private,925 POWELL ST,PPA, ,G,30,0,0, ,"(37.793148, -122.409484)"
Private,3555 CESAR CHAVEZ ST,PPA, ,G,214,0,0, ,"(37.747799, -122.420673)"
Private,1 BUSH ST,PPA, ,G,260,0,0, ,"(37.790868, -122.399192)"
Private,100 PINE ST,PPA, ,G,150,0,0, ,"(37.792549, -122.398557)"
Private,121 SPEAR ST,PPA, ,G,450,0,0, ,"(37.792312, -122.393281)"
Private,55 11th St,PHO, ,G,127,0,0, ,"(37.775084, -122.41757)"
Private,215 Townsend St,PPA, ,G,750,0,0, ,"(37.777397, -122.393619)"
Private,235 PINE ST,PPA, ,G,60,40,0, ,"(37.79195, -122.399974)"
Private,255 12th ST,PPA, ,G,856,0,0, ,"(37.771601, -122.415998)"
Private,300 CALIFORNIA ST,PPA, ,G,60,0,0, ,"(37.79335, -122.399927)"
Private,505 BRANNAN ST,PPA, ,L,72,0,0, ,"(37.7779, -122.396453)"
Private,521 Mission St,PPA, ,G,180,0,0, ,"(37.788964, -122.397968)"
Private,650 TOWNSEND ST,PPA, ,G,526,0,0, ,"(37.771024, -122.402778)"
Private,1266 09TH AVE,PPA, ,L,30,0,0, ,"(37.764681, -122.46591)"
Private,144 KING ST,PPA, ,L,30,0,0, ,"(37.779247, -122.390677)"
Private,1 MISSION ST,PPA, , ,270,0,0, ,"(37.793409, -122.392392)"
Private,2254 MARKET ST,PPA, ,L,30,0,0, ,"(37.765254, -122.432035)"
Private,1101 SUTTER ST,PPA, ,G,80,0,0, ,"(37.787694, -122.418399)"
Private,1725 SACRAMENTO ST,PPA, ,G,68,0,0, ,"(37.791183, -122.421129)"
Private,64 Golden Gate Ave,PPA, ,G,70,0,0, ,"(37.782323, -122.411334)"
Private,1480 Sutter St,PPA, ,G,38,0,0, ,"(37.787337, -122.424492)"
Private,1388 Sutter St,PPA, ,G,225,0,0, ,"(37.787533, -122.422956)"
Private,1776 SACRAMENTO ST,PPA, ,G,70,0,0, ,"(37.791502, -122.421907)"
Private,732 WASHINGTON ST,PPA, ,L,35,0,0, ,"(37.795406, -122.405462)"
Private,45 03RD ST,PPA, ,G,798,0,0, ,"(37.787017, -122.402516)"
Private,1600 JACKSON ST,PPA, ,G,74,0,0, ,"(37.794279, -122.42142)"
Private,77 Post St,PHO, ,G,12,0,0, ,"(37.788701, -122.402965)"
Private,265 EDDY ST,PPA, ,G,40,0,0, ,"(37.78376, -122.411744)"
Private,565 GEARY ST,PPA, ,G,30,0,0, ,"(37.786546, -122.412402)"
Private,600 TOWNSEND ST,PPA, ,G,163,0,0, ,"(37.77174, -122.401872)"
Private,250 BRANNAN ST,PPA, ,G,170,0,0, ,"(37.782932, -122.390821)"
Private,400 GROVE ST,PPA,PHO,L,46,12,0, ,"(37.777949, -122.423182)"
Private,401 Grove St,PPA,PHO,L,70,0,0, ,"(37.777543, -122.423098)"
Private,470 BROADWAY,PPA, ,L,21,0,0, ,"(37.798234, -122.404849)"
Private,515 HOWARD ST,PPA, ,L,150,0,0, ,"(37.788001, -122.396093)"
Private,524 HOWARD ST,PPA, ,L,70,0,0, ,"(37.788084, -122.396724)"
Private,530 BROADWAY,PPA, ,L,38,0,0, ,"(37.79811, -122.405814)"
Private,680 MISSION ST,PPA, ,G,240,0,0, ,"(37.786678, -122.401598)"
Private,701 LOMBARD ST,PPA, ,L,40,0,0, ,"(37.802569, -122.412863)"
Private,65 Fresno St,PPA, ,L,30,0,0, ,"(37.798295, -122.406478)"
Private,75 MOSS ST,PPA, ,L,18,0,0, ,"(37.777642, -122.407375)"
Private,840 SUTTER ST,PPA, ,G,150,0,0, ,"(37.788664, -122.414094)"
Private,85 05TH ST,PPA, ,G,0,60,0, ,"(37.783019, -122.406129)"
Private,901 HOWARD ST,PPA, ,L,0,85,0, ,"(37.781244, -122.404639)"
Private,345 06th ST,PPA, , ,25,0,0, ,"(37.778, -122.404486)"
Private,425 NORTH POINT ST,PPA, ,G,64,0,0, ,"(37.806241, -122.414042)"
UCSF,1625 Owens St,PPA, ,G,516,0,0, ,"(37.768128, -122.393504)"
UCSF,1650 03RD ST,PPA, ,G,720,0,0, ,"(37.768365, -122.389408)"
UCSF,1855 Folsom St,PPA, ,L,200,0,0, ,"(37.767406, -122.413806)"
UCSF,3111 17th St,PPA, ,L,180,0,0, ,"(37.764027, -122.415587)"
UCSF,3333 California St,PPA, ,L,57,0,0, ,"(37.786721, -122.448834)"
UCSF,500 PARNASSUS AVE,PPA, ,G,990,0,0, ,"(37.763756, -122.458208)"
UCSF,533 Laurel St,PPA, ,G,84,0,0, ,"(37.785836, -122.449486)"
UCSF,568 Laurel St,PPA, ,G,89,0,0, ,"(37.785487, -122.448926)"
UCSF,6 Kirkham St,PPA, ,L,16,0,0, ,"(37.760703, -122.460519)"
UCSF,64 Kirkham St,PPA, ,L,149,0,0, ,"(37.760677, -122.461122)"
UCSF,83 Channel St,PPA, ,L,287,0,0, ,"(37.772656, -122.393194)"
Private,2001 UNION ST,PPA,PHO,G,200,0,0, ,"(37.797235, -122.432138)"
Private,1550 Union St,PPA, ,G,40,0,0, ,"(37.798602, -122.424669)"
Private,909 MONTGOMERY ST,PPA, ,G,65,0,0, ,"(37.797357, -122.403771)"
Private,200 KANSAS ST,PPA, ,L,49,0,0, ,"(37.767124, -122.403817)"
Private,2130 FULTON ST,PPA, ,G,770,0,0, ,"(37.775351, -122.451045)"
Private,998 Sansome St,PPA, , ,24,0,0, ,"(37.798976, -122.401896)"
Private,3151 22nd St,PHO, ,L,103,0,0, ,"(37.755233, -122.417708)"
Private,10 NATOMA ST,PPA, ,G,110,0,0, ,"(37.78941, -122.396121)"
Private,136 TOWNSEND ST,PPA, ,G,110,0,0, ,"(37.7801, -122.391287)"
Private,1375 Sutter St,PPA, ,G,167,0,0, ,"(37.78715, -122.422686)"
Private,1398 STEVENSON ST,PPA, ,L,65,0,0, ,"(37.770026, -122.421668)"
Private,1399 STEVENSON ST,PPA, ,L,87,0,0, ,"(37.770058, -122.42115)"
Private,150 01ST ST,PPA, ,G,180,0,0, ,"(37.788955, -122.396797)"
Private,250 MAIN ST,PPA, ,L,440,0,0, ,"(37.789788, -122.392615)"
Private,270 BRANNAN ST,PPA, ,L,70,0,0, ,"(37.782668, -122.391155)"
Private,38 08th St,PPA, ,L,0,50,0, ,"(37.777949, -122.414013)"
Private,535 MISSION ST,PPA, ,G,100,0,0, ,"(37.788854, -122.398107)"
Private,546 HOWARD ST,PPA,PHO,L,60,70,0, ,"(37.787717, -122.397188)"
Private,601 Bay St,PPA, ,L,29,0,0, ,"(37.804956, -122.416691)"
Private,67 Turk St,PPA, ,GL,115,0,0, ,"(37.783027, -122.410031)"
Private,81 MINNA ST,PPA, ,L,100,0,0, ,"(37.787777, -122.398388)"
Private,855 GEARY ST,PPA, ,G,100,0,0, ,"(37.785946, -122.417104)"
Private,900 FOLSOM ST,PPA, ,L,250,0,0, ,"(37.780281, -122.403485)"
Private,923 Brannan St,PPA, ,L,280,0,0, ,"(37.770754, -122.405492)"
Private,942 Jessie St,PPA, ,L,105,40,0, ,"(37.775481, -122.416587)"
Private,910 Brannan St,PPA, ,L,115,0,0, ,"(37.771168, -122.405704)"
Private,1945 HYDE ST,PPA, ,G,20,0,0, ,"(37.798693, -122.419029)"
Private,1625 POWELL ST,PPA, ,G,65,0,0, ,"(37.7995, -122.410767)"
Private,229 07th ST,PPA, ,L,110,0,0, ,"(37.77767, -122.408506)"
Private,735 DAVIS ST,PPA, , ,60,0,0, ,"(37.799159, -122.398833)"
Private,1280 Laguna St,PHO, ,L,49,0,0, ,"(37.782785, -122.427101)"
Private,273 JEFFERSON ST,PPA, ,L,210,0,0, ,"(37.807694, -122.416627)"
Private,223 SUTTER ST,PPA, ,G,650,0,0, ,"(37.789557, -122.403782)"
Private,999 POLK ST,PPA, ,L,20,0,0, ,"(37.785636, -122.419715)"
Private,2420 SUTTER ST,PPA, , ,80,0,0, ,"(37.785347, -122.440162)"
Private,1014 MISSION ST,PPA, ,L,18,0,0, ,"(37.780716, -122.409153)"
Private,299 Valencia St,PPA, ,L,30,0,0, ,"(37.768277, -122.421766)"
Private,2020 Alameda St,PPA, ,L,100,0,0, ,"(37.768673, -122.404955)"
Private,30 Division St,PPA, ,L,60,0,0, ,"(37.768805, -122.410083)"
Private,344 14TH ST,PPA, ,L,74,0,0, ,"(37.76837, -122.420812)"
Private,501 08th St,PPA, ,L,62,0,0, ,"(37.772501, -122.40644)"
Private,899 VALENCIA ST, , ,L,31,0,0, ,"(37.758662, -122.420841)"
Private,450 South St,PPA, ,G,1400,0,0, ,"(37.769331, -122.388117)"
UCSF,1590 Owens St,PPA, ,L,60,0,0, ,"(37.768434, -122.39583)"
Private,1670 Owens St,PPA, ,G,500,0,0, ,"(37.76755, -122.394847)"
Private,409 Illinois St,PPA, ,G,400,0,0, ,"(37.766705, -122.387222)"
UC,376 Larkin St,PPA,PHO,G,400,0,8, ,"(37.781169, -122.416635)"
Private,488 South Van Ness Ave,PPA, ,L,40,0,0, ,"(37.76538, -122.417594)"
Private,150 Hayes St,PPA,PHO,G,64,20,0, ,"(37.777549, -122.418755)"
Private,100 Van Ness Ave,PPA,PHO,G,130,40,0, ,"(37.776794, -122.419053)"
Private,175 Turk St,PPA, ,G,100,0,0, ,"(37.782824, -122.411753)"
Private,191 Turk St,PPA, ,L,25,0,0, ,"(37.782794, -122.411963)"
Private,150 Turk St,PPA, ,G,50,0,0, ,"(37.783237, -122.411494)"
SFSU,450 Winston Dr,PPA, ,L,311,0,0, ,"(37.728299, -122.481975)"
SFSU,98 N State Dr,PPA, ,G,1572,0,0, ,"(37.725227, -122.480268)"
Private,3399 16th St,PHO, ,L,21,0,0,religious,"(37.764288, -122.428004)"
BART,540 Bosworth St,PHO, ,L,53,0,0, ,"(37.733636, -122.433202)"
Private,150 Paul Ave,CGO, ,L,10,0,0, ,"(37.722912, -122.396935)"
Caltrans,30 Rickard,CGO, ,L,200,0,0, ,"(37.733592, -122.408264)"
Private,1460 Marin St,CGO, ,L,240,0,0, ,"(37.748669, -122.393815)"
Private,121 Napoleon St,CGO, ,L,36,0,0, ,"(37.746807, -122.39818)"
Customs,1 Custom House Pl,CGO, ,L,18,0,0, ,"(37.795803, -122.401195)"
Private,98 Napoleon St,CGO, ,L,205,0,0, ,"(37.747381, -122.395533)"
Private,2270 Jerrold Ave,CGO, ,L,350,0,0, ,"(37.745647, -122.400932)"
RPD,100 Martin Luther King Jr Dr,CGO, ,L,105,0,0, ,"(37.76738, -122.46095)"
Private,3550 03rd St,CGO, ,L,120,0,0, ,"(37.744672, -122.387358)"
SFPUC,3500 Great Hwy,CGO, ,L,32,0,0, ,"(37.726604, -122.505057)"
Private,2180 HARRISON ST,CGO, ,L,150,0,0, ,"(37.76308, -122.413383)"
Private,429 Folsom St,CGO, ,L,25,0,0, ,"(37.787448, -122.393674)"
Private,50 Main St,CGO, ,G,285,0,0, ,"(37.792277, -122.395717)"
RPD,798 Frederick St,CGO, ,L,16,0,0, ,"(37.766083, -122.45724)"
RPD,1220 Martin Luther King Jr Dr,CGO, ,L,40,0,0, ,"(37.767215, -122.483563)"
Private,2121 Evans Ave,CGO, ,L,62,0,0, ,"(37.748581, -122.396868)"
SFPD,751 Stanyan St,CGO, ,L,45,0,0, ,"(37.767873, -122.453457)"
SFPD,970 Ocean Ave,CGO, ,L,15,0,0, ,"(37.723341, -122.452464)"
SFPD,201 Williams Ave,CGO, ,L,60,0,0, ,"(37.729699, -122.397314)"
SFPD,375 Woodside Ave,CGO, ,L,8,0,0, ,"(37.745849, -122.452067)"
SFPD,99 Seargeant John Young St,CGO, ,L,22,0,0, ,"(37.724716, -122.445775)"
SFPUC,1198 Phelps St,CGO, ,L,35,0,0, ,"(37.738096, -122.392929)"
SFPUC,1200 Phelps St,CGO, ,L,40,0,0, ,"(37.737973, -122.39304)"
SFPUC,1700 Jerrold Ave,CGO, ,L,16,0,0, ,"(37.740078, -122.391112)"
SFPUC,1750 Jerrold Ave,CGO, ,L,166,0,0, ,"(37.740505, -122.391865)"
Private,1575 Bayshore Blvd,CGO, ,L,290,0,0, ,"(37.724188, -122.400575)"
USPS,180 Napoleon St,CGO, ,L,130,0,0, ,"(37.747201, -122.39849)"
USPS,320 Main St,CGO, ,L,103,0,0, ,"(37.788852, -122.391448)"
USPS,333 Beale St,CGO, ,L,200,0,0, ,"(37.78834, -122.391791)"
USPS,25 Napoleon St,CGO, ,L,270,0,0, ,"(37.746915, -122.396414)"
Private,444 DEHARO ST,PHO, ,G,67,0,0, ,"(37.764189, -122.401613)"
Private,51 Zoe St,PHO, ,L,80,0,0, ,"(37.779976, -122.395659)"
Private,179 Hayes St,PHO, ,G,40,0,0, ,"(37.777104, -122.419028)"
Private,601 Brannan St,PHO, ,L,18,0,0, ,"(37.776199, -122.398605)"
Private,180 Fair Oaks St,PHO, ,L,14,0,0, ,"(37.753835, -122.424243)"
Private,1034 Page St,PHO, ,L,14,0,0, ,"(37.772278, -122.437715)"
Private,1826 Haight St,PHO, ,L,17,0,0, ,"(37.769086, -122.452354)"
Private,40 Folsom St,PHO, ,G,366,0,0, ,"(37.790374, -122.390052)"
Private,3001 Ortega St,PHO, ,L,42,0,0, ,"(37.751267, -122.495533)"
Private,3109 Ortega St,PHO, ,L,32,0,0, ,"(37.751213, -122.496675)"
Private,350 Paul Ave,PHO, ,L,59,0,0, ,"(37.723218, -122.398223)"
Private,1515 19th Ave,PHO, ,L,23,0,0, ,"(37.759379, -122.476931)"
Private,379 09th Ave,PHO, ,L,32,0,0, ,"(37.781439, -122.467653)"
Private,610 Brannan St,PHO, ,L,100,0,0, ,"(37.776347, -122.399153)"
Private,400 North Point St,PHO, ,L,109,0,0, ,"(37.806689, -122.413803)"
Private,7 LOMBARD ST,PHO, ,G,300,0,0, ,"(37.803832, -122.402348)"
Private,371 12th St,PHO, ,L,84,0,0, ,"(37.770418, -122.413294)"
Private,655 Brotherhood Way,PHO, ,L,120,0,0, ,"(37.712568, -122.472875)"
Private,66 Potrero St,PHO, ,L,137,0,0, ,"(37.76863, -122.407905)"
Private,915 Minna St,PHO, ,L,47,0,0, ,"(37.774197, -122.4156)"
Private,971 Minna St,PHO, ,L,9,0,0, ,"(37.774318, -122.416078)"
Private,2015 STEINER ST,PHO, ,L,20,0,0, ,"(37.787865, -122.435401)"
Private,2323 SACRAMENTO ST,PHO, ,G,10,0,0, ,"(37.789942, -122.430967)"
Private,2349 Sacramento St,PHO, ,G,10,0,0, ,"(37.789898, -122.431317)"
Private,2085 03rd St,PHO, ,L,10,0,0, ,"(37.763284, -122.388246)"
City College,101 Phelan Ave,PHO, ,L,1681,0,0, ,"(37.725635, -122.453036)"
City College,1125 Valencia St,PHO, ,G,38,0,0, ,"(37.754791, -122.420471)"
City College,45 Gough St,PHO, ,L,36,0,0, ,"(37.772321, -122.421278)"
City College,50 Science Cir,PHO, ,L,766,0,0, ,"(37.725677, -122.450833)"
City College,750 Eddy St,PHO, ,L,21,0,0, ,"(37.783151, -122.419864)"
Private,138 05th St,PHO, ,L,19,0,0, ,"(37.781832, -122.405576)"
Private,174 05th St,PHO, ,L,40,0,0, ,"(37.781621, -122.405302)"
Private,3850 17th St,PHO, ,L,7,0,0, ,"(37.762817, -122.431796)"
City College,1800 Hayes St,PHO, ,L,67,0,0, ,"(37.774038, -122.446352)"
City College,1860 Hayes St,PHO, ,L,54,0,0, ,"(37.773959, -122.44709)"
Private,398 Jefferson St,PHO, ,L,15,0,0, ,"(37.808045, -122.418807)"
Private,599 Cambridge St,PHO, ,L,134,0,0, ,"(37.724152, -122.417022)"
Private,115 08th St,PHO, ,L,40,0,0, ,"(37.77703, -122.413038)"
Private,200 Paul Ave,PHO, ,L,235,0,0, ,"(37.723039, -122.397471)"
Private,100 Potrero Ave,PHO, ,L,100,0,0, ,"(37.767745, -122.40888)"
Private,201 08th St,PHO, ,L,20,0,0, ,"(37.776276, -122.411179)"
Private,101 Market St,PHO, ,L,87,0,0, ,"(37.793506, -122.39528)"
Private,1160 Bay St,PHO, ,L,101,0,0, ,"(37.804562, -122.42605)"
Private,985 North Point St,PHO, ,G,60,0,0, ,"(37.805081, -122.423071)"
Private,33 New Montgomery St,PHO, ,L,12,0,0, ,"(37.788451, -122.401239)"
Private,645 14th Ave,PHO, ,G,16,0,0, ,"(37.775927, -122.472579)"
Private,2290 14th Ave,PHO, ,L,10,0,0, ,"(37.745429, -122.469938)"
Private,1 Welsh St,PHO, ,L,28,0,0, ,"(37.779806, -122.396057)"
Private,821 02nd St,PHO, ,L,32,0,0, ,"(37.779815, -122.38879)"
Private,1717 44th Ave,PHO, ,L,8,0,0, ,"(37.754435, -122.503432)"
Private,333 Main St,PHO, ,G,400,0,0, ,"(37.789021, -122.390928)"
Private,4398 Mission St,PHO, ,L,5,0,0, ,"(37.727285, -122.432905)"
Private,1835 Ellis St,PHO, ,G,106,0,0, ,"(37.781608, -122.436198)"
Private,401 Newhall St,PHO, ,L,20,0,0, ,"(37.741717, -122.386212)"
Private,2130 OFARRELL ST,PHO, ,G,663,0,0, ,"(37.782519, -122.439953)"
Private,2350 GEARY BLVD,PHO, ,L,18,0,0, ,"(37.783215, -122.44182)"
RPD,759 Stanyan St,PHO, ,L,44,0,0, ,"(37.767969, -122.454502)"
Private,825 Brotherhood Way,PHO, ,L,58,0,0, ,"(37.714226, -122.47691)"
LHH,128 Delbrook Ave,PHO, ,L,224,0,0, ,"(37.749142, -122.454234)"
LHH,173 Woodside Ave,PHO, ,L,23,0,0, ,"(37.746627, -122.455626)"
LHH,181 Woodside Ave,PHO, ,L,14,0,0, ,"(37.746598, -122.455503)"
LHH,185 Woodside Ave,PHO, ,L,27,0,0, ,"(37.746583, -122.455441)"
LHH,281 Laguna Honda Blvd,PHO, ,L,244,0,0, ,"(37.749616, -122.459782)"
Private,321 Florida St,PHO, ,L,60,0,0, ,"(37.764936, -122.410946)"
Private,3251 18th St,PHO, ,L,23,0,0, ,"(37.761571, -122.416201)"
Private,1101 Eucalyptus Dr,PHO, ,L,50,0,0, ,"(37.730819, -122.483418)"
Private,1201 Ortega St,PHO, ,L,14,0,0, ,"(37.752119, -122.476201)"
Private,1268 Missouri St,PHO, ,L,45,0,0, ,"(37.7504, -122.395438)"
Private,200 Bacon St,PHO, ,L,45,0,0, ,"(37.727496, -122.404584)"
Private,3250 19th Ave,PHO, ,L,36,0,0, ,"(37.729387, -122.474217)"
SFMTA,1849 Harrison St,PHO, ,G,227,0,0, ,"(37.767634, -122.412831)"
SFMTA,1001 Minnesota St,PHO, ,L,55,0,0, ,"(37.757507, -122.390459)"
SFMTA,949 Presidio Ave,PHO, ,L,100,0,0, ,"(37.782636, -122.446318)"
SFMTA,1210 15th St,PHO, ,L,38,0,0, ,"(37.766382, -122.412549)"
Private,616 HEMLOCK ST,PHO, ,L,38,0,0, ,"(37.786385, -122.428228)"
Private,602 Potrero Ave,PHO, ,L,17,0,0, ,"(37.761729, -122.407303)"
Private,1 Mendell St,PHO, ,L,140,0,0, ,"(37.743143, -122.383019)"
Private,10 Clyde St,PHO, ,L,40,0,0, ,"(37.77854, -122.394158)"
Private,10 Silliman St,PHO, ,L,14,0,0, ,"(37.731341, -122.405143)"
Private,1002 Bryant St,PHO, ,L,14,0,0, ,"(37.772554, -122.40705)"
Private,101 10th St,PHO, ,L,26,0,0, ,"(37.775227, -122.41536)"
Private,1010 03rd St,PHO, ,L,200,0,0, ,"(37.77592, -122.390065)"
Private,1150 25th St,PHO, ,L,30,0,0, ,"(37.752849, -122.390043)"
Private,1164 Evans Ave,PHO, ,L,36,0,0, ,"(37.7385, -122.379847)"
Private,1212 24th St,PHO, ,L,12,0,0, ,"(37.764799, -122.48214)"
Private,1255 Columbus Ave,PHO, ,L,21,0,0, ,"(37.805419, -122.417854)"
Private,1413 Folsom St,PHO, ,L,27,0,0, ,"(37.772469, -122.412641)"
Private,1501 15th St,PHO, ,L,36,0,0, ,"(37.766546, -122.417782)"
Private,159 Erie St,PHO, ,L,23,0,0, ,"(37.768839, -122.419127)"
Private,1619 Franklin St,PHO, ,L,17,0,0, ,"(37.789359, -122.423895)"
Private,1875 Alemany Blvd,PHO, ,L,21,0,0, ,"(37.722132, -122.437732)"
Private,191 Jennings St,PHO, ,L,30,0,0, ,"(37.739176, -122.37721)"
Private,200 Vallejo St,PHO, ,G,25,0,0, ,"(37.79968, -122.401151)"
Private,201 Jennings St,PHO, ,L,24,0,0, ,"(37.738899, -122.377459)"
Private,235 Kansas St,PHO, ,L,76,0,0, ,"(37.766793, -122.403267)"
Private,2372 Green St,PHO, ,L,25,0,0, ,"(37.795961, -122.43793)"
Private,240 05th St,PHO, ,L,60,0,0, ,"(37.780788, -122.404275)"
Private,251 Cargo Way,PHO, ,L,290,0,0, ,"(37.745231, -122.384721)"
