"Año","Comunidad autónoma","Provincia","Origen de la denuncia","Número de denuncias por violencia de género"
"Año 2010","Comunidad Valenciana","Valencia","Atestados policiales - por intervención directa policial","2597.0"
"Año 2010","Comunidad Valenciana","Valencia","Parte de lesiones","1875.0"
"Año 2010","Comunidad Valenciana","Valencia","Servicios asistencia-Terceros  en general","176.0"
"Año 2010","Extremadura","Badajoz","Presentada directamente por victima","42.0"
"Año 2010","Extremadura","Badajoz","Presentada directamente por familiares","13.0"
"Año 2010","Extremadura","Badajoz","Atestados policiales - con denuncia victima","860.0"
"Año 2010","Extremadura","Badajoz","Atestados policiales - con denuncia familiar","12.0"
"Año 2010","Extremadura","Badajoz","Atestados policiales - por intervención directa policial","99.0"
"Año 2010","Extremadura","Badajoz","Parte de lesiones","53.0"
"Año 2010","Extremadura","Badajoz","Servicios asistencia-Terceros  en general","58.0"
"Año 2010","Extremadura","Cáceres","Presentada directamente por victima","211.0"
"Año 2010","Extremadura","Cáceres","Presentada directamente por familiares","2.0"
"Año 2010","Extremadura","Cáceres","Atestados policiales - con denuncia victima","328.0"
"Año 2010","Extremadura","Cáceres","Atestados policiales - con denuncia familiar","3.0"
"Año 2010","Extremadura","Cáceres","Atestados policiales - por intervención directa policial","52.0"
"Año 2010","Extremadura","Cáceres","Parte de lesiones","14.0"
"Año 2010","Extremadura","Cáceres","Servicios asistencia-Terceros  en general","31.0"
"Año 2010","Galicia","A Coruña","Presentada directamente por victima","209.0"
"Año 2010","Galicia","A Coruña","Presentada directamente por familiares","0.0"
"Año 2010","Galicia","A Coruña","Atestados policiales - con denuncia victima","1014.0"
"Año 2010","Galicia","A Coruña","Atestados policiales - con denuncia familiar","17.0"
"Año 2010","Galicia","A Coruña","Atestados policiales - por intervención directa policial","288.0"
"Año 2010","Galicia","A Coruña","Parte de lesiones","452.0"
"Año 2010","Galicia","A Coruña","Servicios asistencia-Terceros  en general","17.0"
"Año 2010","Galicia","Lugo","Presentada directamente por victima","33.0"
"Año 2010","Galicia","Lugo","Presentada directamente por familiares","0.0"
"Año 2010","Galicia","Lugo","Atestados policiales - con denuncia victima","418.0"
"Año 2010","Galicia","Lugo","Atestados policiales - con denuncia familiar","4.0"
"Año 2010","Galicia","Lugo","Atestados policiales - por intervención directa policial","17.0"
"Año 2010","Galicia","Lugo","Parte de lesiones","24.0"
"Año 2010","Galicia","Lugo","Servicios asistencia-Terceros  en general","6.0"
"Año 2010","Galicia","Ourense","Presentada directamente por victima","118.0"
"Año 2010","Galicia","Ourense","Presentada directamente por familiares","0.0"
"Año 2010","Galicia","Ourense","Atestados policiales - con denuncia victima","501.0"
"Año 2010","Galicia","Ourense","Atestados policiales - con denuncia familiar","2.0"
"Año 2010","Galicia","Ourense","Atestados policiales - por intervención directa policial","27.0"
"Año 2010","Galicia","Ourense","Parte de lesiones","33.0"
"Año 2010","Galicia","Ourense","Servicios asistencia-Terceros  en general","4.0"
"Año 2010","Galicia","Pontevedra","Presentada directamente por victima","254.0"
"Año 2010","Galicia","Pontevedra","Presentada directamente por familiares","3.0"
"Año 2010","Galicia","Pontevedra","Atestados policiales - con denuncia victima","1561.0"
"Año 2010","Galicia","Pontevedra","Atestados policiales - con denuncia familiar","16.0"
"Año 2010","Galicia","Pontevedra","Atestados policiales - por intervención directa policial","183.0"
"Año 2010","Galicia","Pontevedra","Parte de lesiones","67.0"
"Año 2010","Galicia","Pontevedra","Servicios asistencia-Terceros  en general","2.0"
"Año 2010","Comunidad de Madrid","Madrid","Presentada directamente por victima","1934.0"
"Año 2010","Comunidad de Madrid","Madrid","Presentada directamente por familiares","87.0"
"Año 2010","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia victima","14056.0"
"Año 2010","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia familiar","296.0"
"Año 2010","Comunidad de Madrid","Madrid","Atestados policiales - por intervención directa policial","3813.0"
"Año 2010","Comunidad de Madrid","Madrid","Parte de lesiones","824.0"
"Año 2010","Comunidad de Madrid","Madrid","Servicios asistencia-Terceros  en general","185.0"
"Año 2010","Región de Murcia","Murcia","Presentada directamente por victima","66.0"
"Año 2010","Región de Murcia","Murcia","Presentada directamente por familiares","9.0"
"Año 2010","Región de Murcia","Murcia","Atestados policiales - con denuncia victima","3484.0"
"Año 2010","Región de Murcia","Murcia","Atestados policiales - con denuncia familiar","142.0"
"Año 2010","Región de Murcia","Murcia","Atestados policiales - por intervención directa policial","897.0"
"Año 2010","Región de Murcia","Murcia","Parte de lesiones","900.0"
"Año 2010","Región de Murcia","Murcia","Servicios asistencia-Terceros  en general","15.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Presentada directamente por victima","105.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Presentada directamente por familiares","2.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia victima","1136.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia familiar","23.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Atestados policiales - por intervención directa policial","41.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Parte de lesiones","112.0"
"Año 2010","Comunidad Foral de Navarra","Navarra","Servicios asistencia-Terceros  en general","51.0"
"Año 2010","País Vasco","Álava","Presentada directamente por victima","56.0"
"Año 2010","País Vasco","Álava","Presentada directamente por familiares","0.0"
"Año 2010","País Vasco","Álava","Atestados policiales - con denuncia victima","603.0"
"Año 2010","País Vasco","Álava","Atestados policiales - con denuncia familiar","0.0"
"Año 2010","País Vasco","Álava","Atestados policiales - por intervención directa policial","47.0"
"Año 2010","País Vasco","Álava","Parte de lesiones","43.0"
"Año 2010","País Vasco","Álava","Servicios asistencia-Terceros  en general","14.0"
"Año 2010","País Vasco","Guipúzcoa","Presentada directamente por victima","67.0"
"Año 2010","País Vasco","Guipúzcoa","Presentada directamente por familiares","13.0"
"Año 2010","País Vasco","Guipúzcoa","Atestados policiales - con denuncia victima","695.0"
"Año 2010","País Vasco","Guipúzcoa","Atestados policiales - con denuncia familiar","6.0"
"Año 2010","País Vasco","Guipúzcoa","Atestados policiales - por intervención directa policial","87.0"
"Año 2010","País Vasco","Guipúzcoa","Parte de lesiones","86.0"
"Año 2010","País Vasco","Guipúzcoa","Servicios asistencia-Terceros  en general","71.0"
"Año 2010","País Vasco","Vizcaya","Presentada directamente por victima","35.0"
"Año 2010","País Vasco","Vizcaya","Presentada directamente por familiares","2.0"
"Año 2010","País Vasco","Vizcaya","Atestados policiales - con denuncia victima","1522.0"
"Año 2010","País Vasco","Vizcaya","Atestados policiales - con denuncia familiar","73.0"
"Año 2010","País Vasco","Vizcaya","Atestados policiales - por intervención directa policial","235.0"
"Año 2010","País Vasco","Vizcaya","Parte de lesiones","30.0"
"Año 2010","País Vasco","Vizcaya","Servicios asistencia-Terceros  en general","6.0"
"Año 2010","La Rioja","La Rioja","Presentada directamente por victima","22.0"
"Año 2010","La Rioja","La Rioja","Presentada directamente por familiares","2.0"
"Año 2010","La Rioja","La Rioja","Atestados policiales - con denuncia victima","482.0"
"Año 2010","La Rioja","La Rioja","Atestados policiales - con denuncia familiar","13.0"
"Año 2010","La Rioja","La Rioja","Atestados policiales - por intervención directa policial","81.0"
"Año 2010","La Rioja","La Rioja","Parte de lesiones","57.0"
"Año 2010","La Rioja","La Rioja","Servicios asistencia-Terceros  en general","3.0"
"Año 2010","Ceuta","Ceuta","Presentada directamente por victima","2.0"
"Año 2010","Ceuta","Ceuta","Presentada directamente por familiares","4.0"
"Año 2010","Ceuta","Ceuta","Atestados policiales - con denuncia victima","136.0"
"Año 2010","Ceuta","Ceuta","Atestados policiales - con denuncia familiar","0.0"
"Año 2010","Ceuta","Ceuta","Atestados policiales - por intervención directa policial","131.0"
"Año 2010","Ceuta","Ceuta","Parte de lesiones","0.0"
"Año 2010","Ceuta","Ceuta","Servicios asistencia-Terceros  en general","0.0"
"Año 2010","Melilla","Melilla","Presentada directamente por victima","6.0"
"Año 2010","Melilla","Melilla","Presentada directamente por familiares","0.0"
"Año 2010","Melilla","Melilla","Atestados policiales - con denuncia victima","233.0"
"Año 2010","Melilla","Melilla","Atestados policiales - con denuncia familiar","13.0"
"Año 2010","Melilla","Melilla","Atestados policiales - por intervención directa policial","32.0"
"Año 2010","Melilla","Melilla","Parte de lesiones","82.0"
"Año 2010","Melilla","Melilla","Servicios asistencia-Terceros  en general","7.0"
"Año 2011","Andalucía","Almería","Presentada directamente por victima","47.0"
"Año 2011","Andalucía","Almería","Presentada directamente por familiares","1.0"
"Año 2011","Andalucía","Almería","Atestados policiales - con denuncia victima","1668.0"
"Año 2011","Andalucía","Almería","Atestados policiales - con denuncia familiar","35.0"
"Año 2011","Andalucía","Almería","Atestados policiales - por intervención directa policial","208.0"
"Año 2011","Andalucía","Almería","Parte de lesiones","360.0"
"Año 2011","Andalucía","Almería","Servicios asistencia-Terceros  en general","38.0"
"Año 2011","Andalucía","Cádiz","Presentada directamente por victima","252.0"
"Año 2011","Andalucía","Cádiz","Presentada directamente por familiares","12.0"
"Año 2011","Andalucía","Cádiz","Atestados policiales - con denuncia victima","2355.0"
"Año 2011","Andalucía","Cádiz","Atestados policiales - con denuncia familiar","74.0"
"Año 2011","Andalucía","Cádiz","Atestados policiales - por intervención directa policial","326.0"
"Año 2011","Andalucía","Cádiz","Parte de lesiones","367.0"
"Año 2011","Andalucía","Cádiz","Servicios asistencia-Terceros  en general","41.0"
"Año 2011","Andalucía","Córdoba","Presentada directamente por victima","58.0"
"Año 2011","Andalucía","Córdoba","Presentada directamente por familiares","1.0"
"Año 2011","Andalucía","Córdoba","Atestados policiales - con denuncia victima","990.0"
"Año 2011","Andalucía","Córdoba","Atestados policiales - con denuncia familiar","1.0"
"Año 2011","Andalucía","Córdoba","Atestados policiales - por intervención directa policial","69.0"
"Año 2011","Andalucía","Córdoba","Parte de lesiones","105.0"
"Año 2011","Andalucía","Córdoba","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Andalucía","Granada","Presentada directamente por victima","201.0"
"Año 2011","Andalucía","Granada","Presentada directamente por familiares","16.0"
"Año 2011","Andalucía","Granada","Atestados policiales - con denuncia victima","2416.0"
"Año 2011","Andalucía","Granada","Atestados policiales - con denuncia familiar","10.0"
"Año 2011","Andalucía","Granada","Atestados policiales - por intervención directa policial","72.0"
"Año 2011","Andalucía","Granada","Parte de lesiones","601.0"
"Año 2011","Andalucía","Granada","Servicios asistencia-Terceros  en general","31.0"
"Año 2011","Andalucía","Huelva","Presentada directamente por victima","130.0"
"Año 2011","Andalucía","Huelva","Presentada directamente por familiares","1.0"
"Año 2011","Andalucía","Huelva","Atestados policiales - con denuncia victima","1054.0"
"Año 2011","Andalucía","Huelva","Atestados policiales - con denuncia familiar","31.0"
"Año 2011","Andalucía","Huelva","Atestados policiales - por intervención directa policial","57.0"
"Año 2011","Andalucía","Huelva","Parte de lesiones","193.0"
"Año 2011","Andalucía","Huelva","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Andalucía","Jaén","Presentada directamente por victima","117.0"
"Año 2011","Andalucía","Jaén","Presentada directamente por familiares","6.0"
"Año 2011","Andalucía","Jaén","Atestados policiales - con denuncia victima","963.0"
"Año 2011","Andalucía","Jaén","Atestados policiales - con denuncia familiar","18.0"
"Año 2011","Andalucía","Jaén","Atestados policiales - por intervención directa policial","93.0"
"Año 2011","Andalucía","Jaén","Parte de lesiones","222.0"
"Año 2011","Andalucía","Jaén","Servicios asistencia-Terceros  en general","3.0"
"Año 2011","Andalucía","Málaga","Presentada directamente por victima","482.0"
"Año 2011","Andalucía","Málaga","Presentada directamente por familiares","17.0"
"Año 2011","Andalucía","Málaga","Atestados policiales - con denuncia victima","3149.0"
"Año 2011","Andalucía","Málaga","Atestados policiales - con denuncia familiar","82.0"
"Año 2011","Andalucía","Málaga","Atestados policiales - por intervención directa policial","934.0"
"Año 2011","Andalucía","Málaga","Parte de lesiones","1055.0"
"Año 2011","Andalucía","Málaga","Servicios asistencia-Terceros  en general","262.0"
"Año 2011","Andalucía","Sevilla","Presentada directamente por victima","894.0"
"Año 2011","Andalucía","Sevilla","Presentada directamente por familiares","7.0"
"Año 2011","Andalucía","Sevilla","Atestados policiales - con denuncia victima","5222.0"
"Año 2011","Andalucía","Sevilla","Atestados policiales - con denuncia familiar","4.0"
"Año 2011","Andalucía","Sevilla","Atestados policiales - por intervención directa policial","754.0"
"Año 2011","Andalucía","Sevilla","Parte de lesiones","942.0"
"Año 2011","Andalucía","Sevilla","Servicios asistencia-Terceros  en general","3.0"
"Año 2011","Aragón","Huesca","Presentada directamente por victima","81.0"
"Año 2011","Aragón","Huesca","Presentada directamente por familiares","0.0"
"Año 2011","Aragón","Huesca","Atestados policiales - con denuncia victima","197.0"
"Año 2011","Aragón","Huesca","Atestados policiales - con denuncia familiar","2.0"
"Año 2011","Aragón","Huesca","Atestados policiales - por intervención directa policial","42.0"
"Año 2011","Aragón","Huesca","Parte de lesiones","56.0"
"Año 2011","Aragón","Huesca","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Aragón","Teruel","Presentada directamente por victima","22.0"
"Año 2011","Aragón","Teruel","Presentada directamente por familiares","0.0"
"Año 2011","Aragón","Teruel","Atestados policiales - con denuncia victima","136.0"
"Año 2011","Aragón","Teruel","Atestados policiales - con denuncia familiar","3.0"
"Año 2011","Aragón","Teruel","Atestados policiales - por intervención directa policial","5.0"
"Año 2011","Aragón","Teruel","Parte de lesiones","3.0"
"Año 2011","Aragón","Teruel","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Aragón","Zaragoza","Presentada directamente por victima","66.0"
"Año 2011","Aragón","Zaragoza","Presentada directamente por familiares","0.0"
"Año 2011","Aragón","Zaragoza","Atestados policiales - con denuncia victima","1869.0"
"Año 2011","Aragón","Zaragoza","Atestados policiales - con denuncia familiar","14.0"
"Año 2011","Aragón","Zaragoza","Atestados policiales - por intervención directa policial","421.0"
"Año 2011","Aragón","Zaragoza","Parte de lesiones","475.0"
"Año 2011","Aragón","Zaragoza","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Principado de Asturias","Asturias","Presentada directamente por victima","294.0"
"Año 2011","Principado de Asturias","Asturias","Presentada directamente por familiares","3.0"
"Año 2011","Principado de Asturias","Asturias","Atestados policiales - con denuncia victima","1827.0"
"Año 2011","Principado de Asturias","Asturias","Atestados policiales - con denuncia familiar","12.0"
"Año 2011","Principado de Asturias","Asturias","Atestados policiales - por intervención directa policial","330.0"
"Año 2011","Principado de Asturias","Asturias","Parte de lesiones","168.0"
"Año 2011","Principado de Asturias","Asturias","Servicios asistencia-Terceros  en general","22.0"
"Año 2011","Islas Baleares","Islas Baleares","Presentada directamente por victima","455.0"
"Año 2011","Islas Baleares","Islas Baleares","Presentada directamente por familiares","8.0"
"Año 2011","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia victima","3225.0"
"Año 2011","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia familiar","25.0"
"Año 2011","Islas Baleares","Islas Baleares","Atestados policiales - por intervención directa policial","206.0"
"Año 2011","Islas Baleares","Islas Baleares","Parte de lesiones","490.0"
"Año 2011","Islas Baleares","Islas Baleares","Servicios asistencia-Terceros  en general","8.0"
"Año 2011","Canarias","Las Palmas","Presentada directamente por victima","417.0"
"Año 2011","Canarias","Las Palmas","Presentada directamente por familiares","4.0"
"Año 2011","Canarias","Las Palmas","Atestados policiales - con denuncia victima","2665.0"
"Año 2011","Canarias","Las Palmas","Atestados policiales - con denuncia familiar","7.0"
"Año 2011","Canarias","Las Palmas","Atestados policiales - por intervención directa policial","329.0"
"Año 2011","Canarias","Las Palmas","Parte de lesiones","1076.0"
"Año 2011","Canarias","Las Palmas","Servicios asistencia-Terceros  en general","36.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Presentada directamente por victima","231.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Presentada directamente por familiares","12.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia victima","2625.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia familiar","36.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Atestados policiales - por intervención directa policial","247.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Parte de lesiones","322.0"
"Año 2011","Canarias","Santa Cruz de Tenerife","Servicios asistencia-Terceros  en general","42.0"
"Año 2011","Cantabria","Cantabria","Presentada directamente por victima","81.0"
"Año 2011","Cantabria","Cantabria","Presentada directamente por familiares","2.0"
"Año 2011","Cantabria","Cantabria","Atestados policiales - con denuncia victima","752.0"
"Año 2011","Cantabria","Cantabria","Atestados policiales - con denuncia familiar","13.0"
"Año 2011","Cantabria","Cantabria","Atestados policiales - por intervención directa policial","125.0"
"Año 2011","Cantabria","Cantabria","Parte de lesiones","164.0"
"Año 2011","Cantabria","Cantabria","Servicios asistencia-Terceros  en general","31.0"
"Año 2011","Castilla y León","Ávila","Presentada directamente por victima","100.0"
"Año 2011","Castilla y León","Ávila","Presentada directamente por familiares","2.0"
"Año 2011","Castilla y León","Ávila","Atestados policiales - con denuncia victima","164.0"
"Año 2011","Castilla y León","Ávila","Atestados policiales - con denuncia familiar","2.0"
"Año 2011","Castilla y León","Ávila","Atestados policiales - por intervención directa policial","27.0"
"Año 2011","Castilla y León","Ávila","Parte de lesiones","34.0"
"Año 2011","Castilla y León","Ávila","Servicios asistencia-Terceros  en general","3.0"
"Año 2011","Castilla y León","Burgos","Presentada directamente por victima","78.0"
"Año 2011","Castilla y León","Burgos","Presentada directamente por familiares","7.0"
"Año 2011","Castilla y León","Burgos","Atestados policiales - con denuncia victima","376.0"
"Año 2011","Castilla y León","Burgos","Atestados policiales - con denuncia familiar","11.0"
"Año 2011","Castilla y León","Burgos","Atestados policiales - por intervención directa policial","146.0"
"Año 2011","Castilla y León","Burgos","Parte de lesiones","58.0"
"Año 2011","Castilla y León","Burgos","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla y León","León","Presentada directamente por victima","72.0"
"Año 2011","Castilla y León","León","Presentada directamente por familiares","0.0"
"Año 2011","Castilla y León","León","Atestados policiales - con denuncia victima","703.0"
"Año 2011","Castilla y León","León","Atestados policiales - con denuncia familiar","4.0"
"Año 2011","Castilla y León","León","Atestados policiales - por intervención directa policial","28.0"
"Año 2011","Castilla y León","León","Parte de lesiones","25.0"
"Año 2011","Castilla y León","León","Servicios asistencia-Terceros  en general","15.0"
"Año 2011","Castilla y León","Palencia","Presentada directamente por victima","24.0"
"Año 2011","Castilla y León","Palencia","Presentada directamente por familiares","1.0"
"Año 2011","Castilla y León","Palencia","Atestados policiales - con denuncia victima","191.0"
"Año 2011","Castilla y León","Palencia","Atestados policiales - con denuncia familiar","7.0"
"Año 2011","Castilla y León","Palencia","Atestados policiales - por intervención directa policial","40.0"
"Año 2011","Castilla y León","Palencia","Parte de lesiones","23.0"
"Año 2011","Castilla y León","Palencia","Servicios asistencia-Terceros  en general","4.0"
"Año 2011","Castilla y León","Salamanca","Presentada directamente por victima","39.0"
"Año 2011","Castilla y León","Salamanca","Presentada directamente por familiares","0.0"
"Año 2011","Castilla y León","Salamanca","Atestados policiales - con denuncia victima","374.0"
"Año 2011","Castilla y León","Salamanca","Atestados policiales - con denuncia familiar","1.0"
"Año 2011","Castilla y León","Salamanca","Atestados policiales - por intervención directa policial","9.0"
"Año 2011","Castilla y León","Salamanca","Parte de lesiones","46.0"
"Año 2011","Castilla y León","Salamanca","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla y León","Segovia","Presentada directamente por victima","84.0"
"Año 2011","Castilla y León","Segovia","Presentada directamente por familiares","0.0"
"Año 2011","Castilla y León","Segovia","Atestados policiales - con denuncia victima","99.0"
"Año 2011","Castilla y León","Segovia","Atestados policiales - con denuncia familiar","0.0"
"Año 2011","Castilla y León","Segovia","Atestados policiales - por intervención directa policial","21.0"
"Año 2011","Castilla y León","Segovia","Parte de lesiones","5.0"
"Año 2011","Castilla y León","Segovia","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla y León","Soria","Presentada directamente por victima","6.0"
"Año 2011","Castilla y León","Soria","Presentada directamente por familiares","1.0"
"Año 2011","Castilla y León","Soria","Atestados policiales - con denuncia victima","89.0"
"Año 2011","Castilla y León","Soria","Atestados policiales - con denuncia familiar","0.0"
"Año 2011","Castilla y León","Soria","Atestados policiales - por intervención directa policial","25.0"
"Año 2011","Castilla y León","Soria","Parte de lesiones","7.0"
"Año 2011","Castilla y León","Soria","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla y León","Valladolid","Presentada directamente por victima","592.0"
"Año 2011","Castilla y León","Valladolid","Presentada directamente por familiares","2.0"
"Año 2011","Castilla y León","Valladolid","Atestados policiales - con denuncia victima","769.0"
"Año 2011","Castilla y León","Valladolid","Atestados policiales - con denuncia familiar","3.0"
"Año 2011","Castilla y León","Valladolid","Atestados policiales - por intervención directa policial","107.0"
"Año 2011","Castilla y León","Valladolid","Parte de lesiones","20.0"
"Año 2011","Castilla y León","Valladolid","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla y León","Zamora","Presentada directamente por victima","89.0"
"Año 2011","Castilla y León","Zamora","Presentada directamente por familiares","0.0"
"Año 2011","Castilla y León","Zamora","Atestados policiales - con denuncia victima","154.0"
"Año 2011","Castilla y León","Zamora","Atestados policiales - con denuncia familiar","1.0"
"Año 2011","Castilla y León","Zamora","Atestados policiales - por intervención directa policial","56.0"
"Año 2011","Castilla y León","Zamora","Parte de lesiones","18.0"
"Año 2011","Castilla y León","Zamora","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla - La Mancha","Albacete","Presentada directamente por victima","55.0"
"Año 2011","Castilla - La Mancha","Albacete","Presentada directamente por familiares","4.0"
"Año 2011","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia victima","714.0"
"Año 2011","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia familiar","9.0"
"Año 2011","Castilla - La Mancha","Albacete","Atestados policiales - por intervención directa policial","62.0"
"Año 2011","Castilla - La Mancha","Albacete","Parte de lesiones","39.0"
"Año 2011","Castilla - La Mancha","Albacete","Servicios asistencia-Terceros  en general","1.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Presentada directamente por victima","90.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Presentada directamente por familiares","0.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia victima","830.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia familiar","14.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Atestados policiales - por intervención directa policial","72.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Parte de lesiones","136.0"
"Año 2011","Castilla - La Mancha","Ciudad Real","Servicios asistencia-Terceros  en general","1.0"
"Año 2011","Castilla - La Mancha","Cuenca","Presentada directamente por victima","20.0"
"Año 2011","Castilla - La Mancha","Cuenca","Presentada directamente por familiares","0.0"
"Año 2011","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia victima","375.0"
"Año 2011","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia familiar","5.0"
"Año 2011","Castilla - La Mancha","Cuenca","Atestados policiales - por intervención directa policial","71.0"
"Año 2011","Castilla - La Mancha","Cuenca","Parte de lesiones","136.0"
"Año 2011","Castilla - La Mancha","Cuenca","Servicios asistencia-Terceros  en general","0.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Presentada directamente por victima","225.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Presentada directamente por familiares","1.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia victima","468.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia familiar","10.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Atestados policiales - por intervención directa policial","97.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Parte de lesiones","155.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Servicios asistencia-Terceros  en general","23.0"
"Año 2011","Castilla - La Mancha","Toledo","Presentada directamente por victima","266.0"
"Año 2011","Castilla - La Mancha","Toledo","Presentada directamente por familiares","3.0"
"Año 2011","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia victima","880.0"
"Año 2011","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia familiar","4.0"
"Año 2011","Castilla - La Mancha","Toledo","Atestados policiales - por intervención directa policial","106.0"
"Año 2011","Castilla - La Mancha","Toledo","Parte de lesiones","34.0"
"Año 2011","Castilla - La Mancha","Toledo","Servicios asistencia-Terceros  en general","4.0"
"Año 2011","Cataluña","Barcelona","Presentada directamente por victima","1011.0"
"Año 2011","Cataluña","Barcelona","Presentada directamente por familiares","21.0"
"Año 2011","Cataluña","Barcelona","Atestados policiales - con denuncia victima","8414.0"
"Año 2011","Cataluña","Barcelona","Atestados policiales - con denuncia familiar","99.0"
"Año 2011","Cataluña","Barcelona","Atestados policiales - por intervención directa policial","2347.0"
"Año 2011","Cataluña","Barcelona","Parte de lesiones","905.0"
"Año 2011","Cataluña","Barcelona","Servicios asistencia-Terceros  en general","64.0"
"Año 2011","Cataluña","Girona","Presentada directamente por victima","38.0"
"Año 2011","Cataluña","Girona","Presentada directamente por familiares","1.0"
"Año 2011","Cataluña","Girona","Atestados policiales - con denuncia victima","1654.0"
"Año 2011","Cataluña","Girona","Atestados policiales - con denuncia familiar","8.0"
"Año 2011","Cataluña","Girona","Atestados policiales - por intervención directa policial","231.0"
"Año 2011","Cataluña","Girona","Parte de lesiones","156.0"
"Año 2011","Cataluña","Girona","Servicios asistencia-Terceros  en general","2.0"
"Año 2011","Cataluña","Lleida","Presentada directamente por victima","30.0"
"Año 2011","Cataluña","Lleida","Presentada directamente por familiares","0.0"
"Año 2011","Cataluña","Lleida","Atestados policiales - con denuncia victima","652.0"
"Año 2011","Cataluña","Lleida","Atestados policiales - con denuncia familiar","11.0"
"Año 2011","Cataluña","Lleida","Atestados policiales - por intervención directa policial","160.0"
"Año 2011","Cataluña","Lleida","Parte de lesiones","48.0"
"Año 2011","Cataluña","Lleida","Servicios asistencia-Terceros  en general","3.0"
"Año 2011","Cataluña","Tarragona","Presentada directamente por victima","27.0"
"Año 2011","Cataluña","Tarragona","Presentada directamente por familiares","5.0"
"Año 2011","Cataluña","Tarragona","Atestados policiales - con denuncia victima","1951.0"
"Año 2011","Cataluña","Tarragona","Atestados policiales - con denuncia familiar","22.0"
"Año 2011","Cataluña","Tarragona","Atestados policiales - por intervención directa policial","353.0"
"Año 2011","Cataluña","Tarragona","Parte de lesiones","258.0"
"Año 2011","Cataluña","Tarragona","Servicios asistencia-Terceros  en general","4.0"
"Año 2011","Comunidad Valenciana","Alicante","Presentada directamente por victima","464.0"
"Año 2011","Comunidad Valenciana","Alicante","Presentada directamente por familiares","96.0"
"Año 2011","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia victima","4290.0"
"Año 2011","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia familiar","49.0"
"Año 2011","Comunidad Valenciana","Alicante","Atestados policiales - por intervención directa policial","877.0"
"Año 2011","Comunidad Valenciana","Alicante","Parte de lesiones","1400.0"
"Año 2011","Comunidad Valenciana","Alicante","Servicios asistencia-Terceros  en general","111.0"
"Año 2011","Comunidad Valenciana","Castellón","Presentada directamente por victima","111.0"
"Año 2011","Comunidad Valenciana","Castellón","Presentada directamente por familiares","8.0"
"Año 2011","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia victima","1041.0"
"Año 2011","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia familiar","4.0"
